"lat_dec","lon_dec","hour_dec","boatspeed_mph","turbidity_ntu","sp_cond_ms_cm","pH","wtemp_c","B3","B4","ndti","ndti_flag","class"
33.75316,-98.37872,9.852417,25.2,13.81301,614.4233,8.8,29.59167,910,554,-0.2431694,0,"water"
33.7532,-98.37862,9.852629,25.2,13.75296,614.4101,8.8,29.58625,916,547,-0.2522215,0,"water"
33.75324,-98.37853,9.852841,25.2,13.74312,614.3833,8.8,29.57925,899,556,-0.2357388,0,"water"
33.75329,-98.37843,9.853052,25.2,13.77611,614.3833,8.8,29.57671,900,567,-0.2269939,0,"water"
33.75333,-98.37833,9.853263,25.2,13.79662,614.4706,8.8,29.57417,927,556,-0.2501686,0,"water"
33.75337,-98.37824,9.853476,25.2,13.79645,614.5602,8.8,29.57161,894,556,-0.2331034,0,"water"
33.7534,-98.37814,9.853692,25.2,13.80415,614.6606,8.8,29.56658,924,566,-0.2402685,0,"water"
33.75344,-98.37804,9.853911,25.2,13.84619,614.7785,8.8,29.55781,922,574,-0.2326203,0,"water"
33.75348,-98.37795,9.854125,25.2,13.92326,614.8941,8.8,29.55267,918,594,-0.2142857,0,"water"
33.75352,-98.37785,9.85434,25.2,14.00296,615.0313,8.8,29.54958,965,594,-0.2379731,0,"water"
33.75356,-98.37775,9.854554,25.2,14.05482,615.1394,8.8,29.54241,965,594,-0.2379731,0,"water"
33.75361,-98.37766,9.854766,25.2,14.07924,615.2159,8.8,29.53095,958,608,-0.2234994,0,"water"
33.75365,-98.37756,9.854982,25.2,14.09997,615.2936,8.8,29.51928,951,603,-0.2239382,0,"water"
33.75369,-98.37747,9.855197,25.2,14.06629,615.4297,8.8,29.51125,954,598,-0.2293814,0,"water"
33.75372,-98.37737,9.855411,25.2,14.00384,615.5869,8.8,29.50913,928,593,-0.2202498,0,"water"
33.75376,-98.37727,9.855623,25.2,13.93802,615.7321,8.797993,29.50839,914,558,-0.2418478,0,"water"
33.7538,-98.37717,9.855829,25.2,13.89577,615.8315,8.791781,29.50342,918,572,-0.2322148,0,"water"
33.75384,-98.37707,9.856041,25.2,13.9224,615.933,8.782949,29.49212,894,558,-0.231405,0,"water"
33.75389,-98.37698,9.856252,25.2,13.9681,616.0345,8.778306,29.47901,898,548,-0.242047,0,"water"
33.75392,-98.37688,9.856467,25.22789,14.0196,616.1604,8.778062,29.46721,898,548,-0.242047,0,"water"
33.75396,-98.37678,9.856685,25.3,14.06525,616.3275,8.782209,29.45935,908,558,-0.2387449,0,"water"
33.754,-98.37669,9.856899,25.3,14.10764,616.4559,8.788631,29.45164,920,554,-0.2483039,0,"water"
33.75404,-98.37659,9.857116,25.3,14.16831,616.566,8.79,29.4438,930,552,-0.2550607,0,"water"
33.75408,-98.37649,9.857333,25.3,14.20332,616.6831,8.79,29.43601,920,554,-0.2483039,0,"water"
33.75412,-98.3764,9.857548,25.3,14.19507,616.7919,8.79,29.42827,918,550,-0.2506812,0,"water"
33.75416,-98.3763,9.857767,25.3,14.13469,616.8313,8.79,29.42039,932,563,-0.2468227,0,"water"
33.7542,-98.3762,9.857982,25.22679,14.00477,616.8699,8.783899,29.41268,946,588,-0.2333768,0,"water"
33.75424,-98.3761,9.858198,25.2,13.87612,616.9347,8.775672,29.40486,964,582,-0.2470893,1,"neighbors"
33.75427,-98.376,9.858415,25.2,13.78752,617.0472,8.769017,29.39705,952,624,-0.2081218,1,"neighbors"
33.75431,-98.37591,9.858629,25.20656,13.76419,617.2087,8.766995,29.38989,982,597,-0.2438252,1,"neighbors"
